id,State,460,466,473,480,487
2,California,0,4435.81454217463,3239.9251862974,4071.8910342851,2614.80058049467
17,Colorado,0,123.136567706581,112.094910568391,98.2956212583768,2614.80058049467
33,Connecticut,0,332.159667960866,361.329179358865,400.517940893801,2614.80058049467
13,Georgia,0,398.974948832734,384.036742770539,343.463046171934,2614.80058049467
18,Maryland,0,342.094612827845,318.197748351412,284.929076472858,2614.80058049467
37,Michigan,0,282.211997313959,262.004387227262,277.090463591305,2614.80058049467
24,Minnesota,0,356.088762986823,340.98927078719,284.474752364482,2614.80058049467
42,New Mexico,0,196.853744909123,177.684411933105,161.588633561356,2614.80058049467
11,New York,0,1127.66980206431,999.958836023209,859.442135802347,2614.80058049467
36,Ohio,0,774.490541523673,887.530728003846,1332.55143100689,2614.80058049467
9,Oregon,0,268.145876893246,228.880918020525,217.366086858747,2614.80058049467
20,Tennessee,0,518.885050855424,548.488071424121,617.086330003221,2614.80058049467
US,US,0,28586.0432358164,24560.1561500591,23581.2355315719,2614.80058049467
