,State_x,Week Number,Model_Name,Predicted,key,State_y,Week_number,Covid Count,Label_Actual
0,Alabama,432,US-Flu\CEPH-Rtrend_fluH,Inc,Alabama_432,Alabama,432,313.0,Dec
1,Alabama,432,US-Flu\CMU-TimeSeries,Inc,Alabama_432,Alabama,432,313.0,Dec
2,Alabama,432,US-Flu\CU-ensemble,Inc,Alabama_432,Alabama,432,313.0,Dec
3,Alabama,432,US-Flu\Flusight-baseline,Inc,Alabama_432,Alabama,432,313.0,Dec
4,Alabama,432,US-Flu\Flusight-ensemble,Inc,Alabama_432,Alabama,432,313.0,Dec
5,Alabama,432,US-Flu\GT-FluFNP,Inc,Alabama_432,Alabama,432,313.0,Dec
6,Alabama,432,US-Flu\ISU_NiemiLab-Flu,Inc,Alabama_432,Alabama,432,313.0,Dec
7,Alabama,432,US-Flu\JHU_IDD-CovidSP,Peak,Alabama_432,Alabama,432,313.0,Dec
8,Alabama,432,US-Flu\LUcompUncertLab-humanjudgment,Peak,Alabama_432,Alabama,432,313.0,Dec
9,Alabama,432,US-Flu\LUcompUncertLab-HWAR2,Inc,Alabama_432,Alabama,432,313.0,Dec
10,Alabama,432,US-Flu\LUcompUncertLab-KalmanFilter,Peak,Alabama_432,Alabama,432,313.0,Dec
11,Alabama,432,US-Flu\MIGHTE-Nsemble,Inc,Alabama_432,Alabama,432,313.0,Dec
12,Alabama,432,US-Flu\MOBS-GLEAM_FLUH,Inc,Alabama_432,Alabama,432,313.0,Dec
13,Alabama,432,US-Flu\PSI-DICE,Inc,Alabama_432,Alabama,432,313.0,Dec
14,Alabama,432,US-Flu\SGroup-RandomForest,Dec,Alabama_432,Alabama,432,313.0,Dec
15,Alabama,432,US-Flu\UGA_flucast-OKeeffe,Peak,Alabama_432,Alabama,432,313.0,Dec
16,Alabama,432,US-Flu\UMass-trends_ensemble,Inc,Alabama_432,Alabama,432,313.0,Dec
17,Alabama,432,US-Flu\UVAFluX-Ensemble,Inc,Alabama_432,Alabama,432,313.0,Dec
18,Alabama,432,US-Flu\VTSanghani-ExogModel,Dec,Alabama_432,Alabama,432,313.0,Dec
19,Alaska,432,US-Flu\CEPH-Rtrend_fluH,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
20,Alaska,432,US-Flu\CMU-TimeSeries,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
21,Alaska,432,US-Flu\CU-ensemble,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
22,Alaska,432,US-Flu\Flusight-baseline,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
23,Alaska,432,US-Flu\Flusight-ensemble,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
24,Alaska,432,US-Flu\GT-FluFNP,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
25,Alaska,432,US-Flu\ISU_NiemiLab-Flu,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
26,Alaska,432,US-Flu\JHU_IDD-CovidSP,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
27,Alaska,432,US-Flu\LUcompUncertLab-humanjudgment,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
28,Alaska,432,US-Flu\LUcompUncertLab-HWAR2,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
29,Alaska,432,US-Flu\LUcompUncertLab-KalmanFilter,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
30,Alaska,432,US-Flu\MIGHTE-Nsemble,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
31,Alaska,432,US-Flu\MOBS-GLEAM_FLUH,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
32,Alaska,432,US-Flu\PSI-DICE,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
33,Alaska,432,US-Flu\SGroup-RandomForest,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
34,Alaska,432,US-Flu\SigSci-CREG,Flat,Alaska_432,Alaska,432,18.333333333333332,Inc
35,Alaska,432,US-Flu\SigSci-TSENS,Dec,Alaska_432,Alaska,432,18.333333333333332,Inc
36,Alaska,432,US-Flu\UGA_flucast-OKeeffe,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
37,Alaska,432,US-Flu\UMass-trends_ensemble,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
38,Alaska,432,US-Flu\UVAFluX-Ensemble,Inc,Alaska_432,Alaska,432,18.333333333333332,Inc
39,Alaska,432,US-Flu\VTSanghani-ExogModel,Dec,Alaska_432,Alaska,432,18.333333333333332,Inc
40,Arizona,432,US-Flu\CEPH-Rtrend_fluH,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
41,Arizona,432,US-Flu\CMU-TimeSeries,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
42,Arizona,432,US-Flu\CU-ensemble,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
43,Arizona,432,US-Flu\Flusight-baseline,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
44,Arizona,432,US-Flu\Flusight-ensemble,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
45,Arizona,432,US-Flu\GT-FluFNP,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
46,Arizona,432,US-Flu\ISU_NiemiLab-Flu,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
47,Arizona,432,US-Flu\JHU_IDD-CovidSP,Peak,Arizona_432,Arizona,432,130.66666666666666,Inc
48,Arizona,432,US-Flu\LUcompUncertLab-humanjudgment,Peak,Arizona_432,Arizona,432,130.66666666666666,Inc
49,Arizona,432,US-Flu\LUcompUncertLab-HWAR2,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
50,Arizona,432,US-Flu\LUcompUncertLab-KalmanFilter,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
51,Arizona,432,US-Flu\MIGHTE-Nsemble,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
52,Arizona,432,US-Flu\MOBS-GLEAM_FLUH,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
53,Arizona,432,US-Flu\PSI-DICE,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
54,Arizona,432,US-Flu\SGroup-RandomForest,Flat,Arizona_432,Arizona,432,130.66666666666666,Inc
55,Arizona,432,US-Flu\SigSci-TSENS,Peak,Arizona_432,Arizona,432,130.66666666666666,Inc
56,Arizona,432,US-Flu\UGA_flucast-OKeeffe,Dec,Arizona_432,Arizona,432,130.66666666666666,Inc
57,Arizona,432,US-Flu\UMass-trends_ensemble,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
58,Arizona,432,US-Flu\UVAFluX-Ensemble,Inc,Arizona_432,Arizona,432,130.66666666666666,Inc
59,Arizona,432,US-Flu\VTSanghani-ExogModel,Dec,Arizona_432,Arizona,432,130.66666666666666,Inc
60,Arkansas,432,US-Flu\CEPH-Rtrend_fluH,Inc,Arkansas_432,Arkansas,432,165.0,Inc
61,Arkansas,432,US-Flu\CMU-TimeSeries,Inc,Arkansas_432,Arkansas,432,165.0,Inc
62,Arkansas,432,US-Flu\CU-ensemble,Inc,Arkansas_432,Arkansas,432,165.0,Inc
63,Arkansas,432,US-Flu\Flusight-baseline,Inc,Arkansas_432,Arkansas,432,165.0,Inc
64,Arkansas,432,US-Flu\Flusight-ensemble,Inc,Arkansas_432,Arkansas,432,165.0,Inc
65,Arkansas,432,US-Flu\GT-FluFNP,Inc,Arkansas_432,Arkansas,432,165.0,Inc
66,Arkansas,432,US-Flu\ISU_NiemiLab-Flu,Inc,Arkansas_432,Arkansas,432,165.0,Inc
67,Arkansas,432,US-Flu\JHU_IDD-CovidSP,Peak,Arkansas_432,Arkansas,432,165.0,Inc
68,Arkansas,432,US-Flu\LUcompUncertLab-humanjudgment,Inc,Arkansas_432,Arkansas,432,165.0,Inc
69,Arkansas,432,US-Flu\LUcompUncertLab-HWAR2,Inc,Arkansas_432,Arkansas,432,165.0,Inc
70,Arkansas,432,US-Flu\LUcompUncertLab-KalmanFilter,Inc,Arkansas_432,Arkansas,432,165.0,Inc
71,Arkansas,432,US-Flu\MIGHTE-Nsemble,Inc,Arkansas_432,Arkansas,432,165.0,Inc
72,Arkansas,432,US-Flu\MOBS-GLEAM_FLUH,Inc,Arkansas_432,Arkansas,432,165.0,Inc
