,True Label,Model Name,Mean_Score,rank
15,Dec,US-Flu\MOBS-GLEAM_FLUH,0.7970102777777778,1.0
6,Dec,US-Flu\GT-FluFNP,0.6480968888888888,2.0
14,Dec,US-Flu\LosAlamos_NAU-CModel_Flu,0.44280149572649574,3.0
4,Dec,US-Flu\Flusight-ensemble,0.4390014957264957,4.0
22,Dec,US-Flu\UT_FluCast-Voltaire,0.43580346320346325,5.0
1,Dec,US-Flu\CMU-TimeSeries,0.3998324786324786,6.0
7,Dec,US-Flu\IEM_Health-FluProject,0.3793446581196581,7.0
13,Dec,US-Flu\LUcompUncertLab-humanjudgment,0.3609671428571429,8.0
16,Dec,US-Flu\PSI-DICE,0.3482138888888889,9.0
23,Dec,US-Flu\UVAFluX-Ensemble,0.24946783369803063,10.0
11,Dec,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,0.24136136363636362,11.0
8,Dec,US-Flu\LUcompUncertLab-TEVA,0.21305126262626264,12.0
17,Dec,US-Flu\SGroup-RandomForest,0.16718650000000002,13.0
19,Dec,US-Flu\SigSci-CREG,0.16356173469387758,14.0
12,Dec,US-Flu\LUcompUncertLab-VAR2_plusCOVID,0.1557524361948956,15.0
9,Dec,US-Flu\LUcompUncertLab-VAR2,0.12487424593967517,16.0
5,Dec,US-Flu\GH-Flusight,0.11878899082568807,17.0
24,Dec,US-Flu\VTSanghani-ExogModel,0.11332824207492795,18.0
10,Dec,US-Flu\LUcompUncertLab-VAR2K,0.10692525252525252,19.0
20,Dec,US-Flu\SigSci-TSENS,0.053199552572706935,20.0
18,Dec,US-Flu\SGroup-SIkJalpha,0.02831880341880342,21.0
0,Dec,US-Flu\CEID-Walk,0.005200000000000001,22.0
21,Dec,US-Flu\UMass-trends_ensemble,-0.05387687224669604,23.0
2,Dec,US-Flu\CU-ensemble,-0.12710961538461538,24.0
3,Dec,US-Flu\Flusight-baseline,-0.29215405982905984,25.0
28,Flat,US-Flu\Flusight-baseline,0.8144463963963964,1.0
46,Flat,US-Flu\UMass-trends_ensemble,0.7818244019138756,2.0
29,Flat,US-Flu\Flusight-ensemble,0.7375049549549549,3.0
25,Flat,US-Flu\CEID-Walk,0.730764563106796,4.0
41,Flat,US-Flu\PSI-DICE,0.7078977168949772,5.0
