,State_x,Week Number,Model_Name,Predicted,key,State_y,Week_number,Covid Count,Label_Actual
0,Alabama,138,US-Flu\CEID-Walk,Flat,Alabama_138,Alabama,138,32.0,Dec
1,Alabama,138,US-Flu\CMU-TimeSeries,Dec,Alabama_138,Alabama,138,32.0,Dec
2,Alabama,138,US-Flu\CU-ensemble,Flat,Alabama_138,Alabama,138,32.0,Dec
3,Alabama,138,US-Flu\Flusight-baseline,Flat,Alabama_138,Alabama,138,32.0,Dec
4,Alabama,138,US-Flu\Flusight-ensemble,Flat,Alabama_138,Alabama,138,32.0,Dec
5,Alabama,138,US-Flu\GT-FluFNP,Inc,Alabama_138,Alabama,138,32.0,Dec
6,Alabama,138,US-Flu\IEM_Health-FluProject,Inc,Alabama_138,Alabama,138,32.0,Dec
7,Alabama,138,US-Flu\LosAlamos_NAU-CModel_Flu,Flat,Alabama_138,Alabama,138,32.0,Dec
8,Alabama,138,US-Flu\LUcompUncertLab-TEVA,Inc,Alabama_138,Alabama,138,32.0,Dec
9,Alabama,138,US-Flu\LUcompUncertLab-VAR2,Inc,Alabama_138,Alabama,138,32.0,Dec
10,Alabama,138,US-Flu\LUcompUncertLab-VAR2K,Surge,Alabama_138,Alabama,138,32.0,Dec
11,Alabama,138,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,Peak,Alabama_138,Alabama,138,32.0,Dec
12,Alabama,138,US-Flu\LUcompUncertLab-VAR2_plusCOVID,Peak,Alabama_138,Alabama,138,32.0,Dec
13,Alabama,138,US-Flu\PSI-DICE,Flat,Alabama_138,Alabama,138,32.0,Dec
14,Alabama,138,US-Flu\SGroup-SIkJalpha,Surge,Alabama_138,Alabama,138,32.0,Dec
15,Alabama,138,US-Flu\SigSci-CREG,Dec,Alabama_138,Alabama,138,32.0,Dec
16,Alabama,138,US-Flu\SigSci-TSENS,Flat,Alabama_138,Alabama,138,32.0,Dec
17,Alabama,138,US-Flu\UMass-trends_ensemble,Flat,Alabama_138,Alabama,138,32.0,Dec
18,Alabama,138,US-Flu\UT_FluCast-Voltaire,Dec,Alabama_138,Alabama,138,32.0,Dec
19,Alabama,138,US-Flu\UVAFluX-Ensemble,Dec,Alabama_138,Alabama,138,32.0,Dec
20,Alabama,138,US-Flu\VTSanghani-ExogModel,Flat,Alabama_138,Alabama,138,32.0,Dec
21,Arkansas,138,US-Flu\CEID-Walk,Surge,Arkansas_138,Arkansas,138,24.0,Dec
22,Arkansas,138,US-Flu\CMU-TimeSeries,Inc,Arkansas_138,Arkansas,138,24.0,Dec
23,Arkansas,138,US-Flu\CU-ensemble,Peak,Arkansas_138,Arkansas,138,24.0,Dec
24,Arkansas,138,US-Flu\Flusight-baseline,Flat,Arkansas_138,Arkansas,138,24.0,Dec
25,Arkansas,138,US-Flu\Flusight-ensemble,Dec,Arkansas_138,Arkansas,138,24.0,Dec
26,Arkansas,138,US-Flu\GT-FluFNP,Dec,Arkansas_138,Arkansas,138,24.0,Dec
27,Arkansas,138,US-Flu\IEM_Health-FluProject,Inc,Arkansas_138,Arkansas,138,24.0,Dec
28,Arkansas,138,US-Flu\LosAlamos_NAU-CModel_Flu,Dec,Arkansas_138,Arkansas,138,24.0,Dec
29,Arkansas,138,US-Flu\LUcompUncertLab-TEVA,Surge,Arkansas_138,Arkansas,138,24.0,Dec
30,Arkansas,138,US-Flu\LUcompUncertLab-VAR2,Dec,Arkansas_138,Arkansas,138,24.0,Dec
31,Arkansas,138,US-Flu\LUcompUncertLab-VAR2K,Surge,Arkansas_138,Arkansas,138,24.0,Dec
32,Arkansas,138,US-Flu\LUcompUncertLab-VAR2K_plusCOVID,Surge,Arkansas_138,Arkansas,138,24.0,Dec
33,Arkansas,138,US-Flu\LUcompUncertLab-VAR2_plusCOVID,Flat,Arkansas_138,Arkansas,138,24.0,Dec
